Paper Title;Year;Author;Publication;Url of paper
MemSeg: A semi-supervised method for image surface defect detection using differences and commonalities;2022.0;M Yang, P Wu, J Liu, H Feng;arxiv.org;https://arxiv.org/abs/2205.00908
Automated defect detection tool for closed circuit television (cctv) inspected sewer pipelines;2018.0;A Hawari, M Alamin, F Alkadour, M Elmasry…;Elsevier;https://www.sciencedirect.com/science/article/pii/S0926580517304272
An defect detection method based on zernike moments for industrial ct image;2007.0;B Guotang, C Yuansong, Q Renchao…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/4350809/
Component surface defect detection based on image segmentation method;2016.0;L Renwei, Y Dong;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/7531906/
Textile defect detection and classification based on deep convolution neural network;2020.0;C Wang, D Wang, R Wang, J Leng;World Scientific;https://www.worldscientific.com/doi/abs/10.1142/9789811223334_0131
Automatic defect detection and segmentation of tunnel surface using modified Mask R-CNN;2021.0;Y Xu, D Li, Q Xie, Q Wu, J Wang;Elsevier;https://www.sciencedirect.com/science/article/pii/S0263224121003158
Defect detection of injection molding products on small datasets using transfer learning;2021.0;J Liu, F Guo, H Gao, M Li, Y Zhang, H Zhou;Elsevier;https://www.sciencedirect.com/science/article/pii/S1526612521006113
Generative adversarial network with object detector discriminator for enhanced defect detection on ultrasonic B-scans;2021.0;L Posilović, D Medak, M Subašić, M Budimir…;Elsevier;https://www.sciencedirect.com/science/article/pii/S0925231221010304
Archive film defect detection and removal: an automatic restoration framework;2012.0;X Wang, M Mirmehdi;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/6180218/
A hybrid defect detection for in-tray semiconductor chip;2013.0;CS Chen, CL Huang, CW Yeh;Springer;https://link.springer.com/article/10.1007/s00170-012-4149-5
Fabric defect detection based on wavelet decomposition with one resolution level;2008.0;S Guan, X Shi;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/4732218/
Texton-based fabric defect detection and recognition;2011.0;M Behravan, F Tajeripour, Z Azimifar, R Boostani;sid.ir;https://www.sid.ir/en/Journal/ViewPaper.aspx?ID=265950
Defect detection in the textile industry using image-based machine learning methods: a brief review;2022.0;S Shahrabadi, Y Castilla, M Guevara…;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1742-6596/2224/1/012010/meta
Surface Defect Detection of Electric Power Equipment in Substation Based on Improved YOLOV4 Algorithm;2020.0;X Chen, Z An, L Huang, S He…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9349721/
A real-time defect detection method for digital signal processing of industrial inspection applications;2020.0;Y Gao, J Lin, J Xie, Z Ning;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9153815/
Integrated vision-based system for automated defect detection in sewer closed circuit television inspection videos;2015.0;MR Halfawy, J Hengmeechai;ascelibrary.org;https://ascelibrary.org/doi/abs/10.1061/(ASCE)CP.1943-5487.0000312
Heating defect detection system scheme design based on infrared image processing for high voltage plant of substation;2011.0;L Jun, L Xinyu;Elsevier;https://www.sciencedirect.com/science/article/pii/S1877705811016316
Automatic defect detection system based on deep convolutional neural networks;2019.0;YF Chen, FS Yang, E Su, CC Ho;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8863029/
End-to-end defect detection in automated fiber placement based on artificially generated data;2019.0;S Zambal, C Heindl, C Eitzinger…;spiedigitallibrary.org;https://www.spiedigitallibrary.org/conference-proceedings-of-spie/11172/111721G/End-to-end-defect-detection-in-automated-fiber-placement-based/10.1117/12.2521739.short
Defect detection in C-scan maps;2007.0;E Bozzi, G Cavaccini, M Chimenti, MG Di Bono…;Springer;https://link.springer.com/article/10.1134/S105466180704013X
Automatic welding defect detection of x-ray images by using cascade adaboost with penalty term;2019.0;F Duan, S Yin, P Song, W Zhang, C Zhu…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8758813/
Defect detection on the fabric with complex texture via dual-scale over-complete dictionary;2016.0;T Qu, L Zou, Q Zhang, X Chen, C Fan;Taylor & Francis;https://www.tandfonline.com/doi/abs/10.1080/00405000.2015.1061760
Defect detection of mobile phone surface based on convolution neural network;2017.0;L Ma, Y Lu, X Nan, Y Liu, HQ Jiang;researchgate.net;https://www.researchgate.net/profile/Yu-Liu/publication/326791644_Defect_Detection_of_Mobile_Phone_Surface_Based_on_Convolution_Neural_Network/links/5fa36159299bf10f73250010/Defect-Detection-of-Mobile-Phone-Surface-Based-on-Convolution-Neural-Network.pdf
Independent component analysis based filter design for defect detection in low-contrast textured images;2006.0;DM Tsai, YH Tseng, SM Chao…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/1699189/
A non-invasive technique for online defect detection on steel strip surfaces;2016.0;FG Bulnes, DF García, FJ De la Calle…;Springer;https://link.springer.com/article/10.1007/s10921-016-0370-8
Unsupervised patterned fabric defect detection using texture filtering and K-means clustering;2018.0;AA Hamdi, MS Sayed, MM Fouad…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8316611/
Review of Industry Workpiece Classification and Defect Detection using Deep Learning;2022.0;C Chen, A Abdullah, SH Kok…;search.proquest.com;https://search.proquest.com/openview/e4516bff97a7c15d5d9a8d6bacba0a92/1?pq-origsite=gscholar&cbl=5444811
New capabilities of OBIRCH method for fault localization and defect detection;1997.0;K Nikawa, S Inoue;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/643961/
Fabric Defect Detection VIA Unsupervised Neural Networks;2022.0;KH Liu, SJ Chen, CH Chiu, TJ Liu;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9859266/
Weld defect detection of X-ray images based on support vector machine;2014.0;Y Wang, H Guo;Taylor & Francis;https://www.tandfonline.com/doi/abs/10.1080/02564602.2014.892739
Infrared image processing for solar cell defect detection;2017.0;A Petrosyan, A Hovhannisyan;csit.am;https://csit.am/2017/Proceedings/PRIP/PRIP6.pdf
Pointer defect detection based on transfer learning and improved cascade-RCNN;2020.0;W Zhao, H Huang, D Li, F Chen, W Cheng;mdpi.com;https://www.mdpi.com/813938
A Defect Detection Method for Rail Surface and Fasteners Based on Deep Convolutional Neural Network;2021.0;D Zheng, L Li, S Zheng, X Chai, S Zhao…;hindawi.com;https://www.hindawi.com/journals/cin/2021/2565500/
An imaging algorithm of planar array capacitance sensor for defect detection;2021.0;Y Zhang, Y Sun, Y Wen;Elsevier;https://www.sciencedirect.com/science/article/pii/S0263224120309969
Defect-detection algorithm for noncontact acoustic inspection using spectrum entropy;2015.0;K Sugimoto, R Akamatsu, T Sugimoto…;iopscience.iop.org;https://iopscience.iop.org/article/10.7567/JJAP.54.07HC15/meta
Research of U-Net-Based CNN Architectures for Metal Surface Defect Detection;2022.0;I Konovalenko, P Maruschak, J Brezinová…;mdpi.com;https://www.mdpi.com/1612324
Defect detection in aircraft composites by using a neural approach in the analysis of thermographic images;2005.0;T D'Orazio, C Guaragnella, M Leo, P Spagnolo;Elsevier;https://www.sciencedirect.com/science/article/pii/S0963869505000678
DLSE-Net: A robust weakly supervised network for fabric defect detection;2021.0;Z Liu, Z Huo, C Li, Y Dong, B Li;Elsevier;https://www.sciencedirect.com/science/article/pii/S0141938221000226
Defect detection in atomic-resolution images via unsupervised learning with translational invariance;2021.0;Y Guo, SV Kalinin, H Cai, K Xiao, S Krylyuk…;nature.com;https://www.nature.com/articles/s41524-021-00642-1
Research on Pipeline Video Defect Detection Based on Improved Convolution Neural Network;2020.0;QH Huang, BA Li, XQ Lv, ZJ Zhang…;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1742-6596/1576/1/012028/meta
A surface defect detection framework for glass bottle bottom using visual attention model and wavelet transform;2019.0;X Zhou, Y Wang, Q Zhu, J Mao, C Xiao…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8795569/
High-speed defect detection method for color printed matter;1990.0;K Tanimizu, S Meguro, A Ishii;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/149219/
CS-ResNet: Cost-sensitive residual convolutional neural network for PCB cosmetic defect detection;2021.0;H Zhang, L Jiang, C Li;Elsevier;https://www.sciencedirect.com/science/article/pii/S0957417421010617
Application of supervised machine learning for defect detection during metallic powder bed fusion additive manufacturing using high resolution imaging.;2018.0;C Gobert, EW Reutzel, J Petrich, AR Nassar…;Elsevier;https://www.sciencedirect.com/science/article/pii/S2214860417302051
Integrated defect detection and optimization for cross cutting of wooden boards;1998.0;M Rönnqvist, E Åstrand;Elsevier;https://www.sciencedirect.com/science/article/pii/S0377221797001811
Automated defect detection from ultrasonic images using deep learning;2021.0;D Medak, L Posilović, M Subašić…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9435411/
Development of a real-time machine vision system for functional textile fabric defect detection using a deep YOLOv4 model;2022.0;S Dlamini, CY Kao, SL Su…;journals.sagepub.com;https://journals.sagepub.com/doi/abs/10.1177/00405175211034241
Apple defect detection using statistical histogram based EM algorithm;2011.0;G Moradi, M Shamsi, MH Sedaaghi…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/5955681/
Improved faster R-CNN algorithm for defect detection in powertrain assembly line;2020.0;X Liyun, LI Boyu, MI Hong, L Xingzhong;Elsevier;https://www.sciencedirect.com/science/article/pii/S2212827120305862
Steel surface defect detection using GAN and one-class classifier;2019.0;K Liu, A Li, X Wen, H Chen…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8895110/
Automatic pavement defect detection using 3D laser profiling technology;2018.0;D Zhang, Q Zou, H Lin, X Xu, L He, R Gui, Q Li;Elsevier;https://www.sciencedirect.com/science/article/pii/S0926580518304813
Vision based leather defect detection: a survey;2022.0;M Jawahar, LJ Anbarasi, S Geetha;Springer;https://link.springer.com/article/10.1007/s11042-022-13308-x
Fabric defect detection via low-rank decomposition with gradient information;2019.0;B Shi, J Liang, L Di, C Chen, Z Hou;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8826547/
A visual attention system based anisotropic diffusion method for an effective textile defect detection;2021.0;M Ben Gharsallah, E Ben Braiek;Taylor & Francis;https://www.tandfonline.com/doi/abs/10.1080/00405000.2020.1850613
Analytical modelling of in situ layer-wise defect detection in 3D-printed parts: additive manufacturing;2020.0;OK Bowoto, BI Oladapo, SA Zahedi…;Springer;https://link.springer.com/article/10.1007/s00170-020-06241-6
A new local homogeneity analysis method based on pixel intensities for image defect detection;2015.0;B Rajitha, A Tiwari, S Agarwal;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/7232878/
Fabric defect detection with LBP-GLMC;2017.0;O Kaynar, YE Işik, Y Görmez…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8090188/
Design of LQFP chip pin defect detection system based on machine vision;2021.0;XF Ou, W Chen, M Zhang;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9611709/
Deep Learning Approaches for Dynamic Object Understanding and Defect Detection;2020.0;YT Chang, W Gunarathne, TK Shih;jit.ndhu.edu.tw;https://jit.ndhu.edu.tw/article/view/2297
Defect Detection in Random Colour Textures Using the MIA T2 Defect Maps;2006.0;F López, JM Prats, A Ferrer, JM Valiente;Springer;https://link.springer.com/chapter/10.1007/11867661_68
Fabric defect detection using Gabor filters and defect classification based on LBP and Tamura method;2013.0;J Jing, H Zhang, J Wang, P Li, J Jia;Taylor & Francis;https://www.tandfonline.com/doi/abs/10.1080/00405000.2012.692940
Key technologies of steel plate surface defect detection system based on artificial intelligence machine vision;2021.0;B Xue, Z Wu;hindawi.com;https://www.hindawi.com/journals/wcmc/2021/5553470/
Pulse phase thermography for defect detection and visualization;1999.0;S Marinetti, YA Plotnikov, WP Winfree…;spiedigitallibrary.org;https://www.spiedigitallibrary.org/conference-proceedings-of-spie/3586/0000/Pulse-phase-thermography-for-defect-detection-and-visualization/10.1117/12.339890.short
Review on computer aided sewer pipeline defect detection and condition assessment;2019.0;S Moradi, T Zayed, F Golkhoo;mdpi.com;https://www.mdpi.com/420298
Defect detection in rotating machine elements by using an improved image segmentation technique;2022.0;VK Chawla, E Yadav;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1757-899X/1228/1/012009/meta
Fabric defect detection using saliency of multi‐scale local steering kernel;2020.0;K Zhang, Y Yan, P Li, J Jing, Z Wang…;Wiley Online Library;https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/iet-ipr.2018.5857
